,Title,Smiles
183,AN-153/I262620,O=C1NC2=C(C=C(Cl)C=C2)/C(C2=CC=CC=C2)=C\1N1CCCC(C(=O)N2CCN(C3=NC=CC=N3)CC2)C1
184,AT-687/SK15767,CC1=C2OC(=O)C(/C3=N/C4=C(C=CC(C(=O)O)=C4)N3)=CC2=C(CO)C=N1
185,AN-153/MD17197,CCC1=CC=C(NC(=O)C2CCCN(/C3=C(\C4=CC=CC=C4)C4=C(C=CC(Cl)=C4)NC3=O)C2)C=C1
186,AT-687/PE16784,O=C(NCCCC1=CC=CC=C1)C1CCCN(C2=NC=NC3=C2OC2=C3C=CC=C2)C1
187,AT-687/PE26002,COC1=CC=CC(C2=CSC3=C2N=C(N2CCCC(C(=O)NC4CCCC4)C2)NC3=O)=C1
188,AT-358/MD21393,COC1=C(OC)C2=C(C=C1)C1=C(C3=C(C=C1)/C=C1/OCO/C1=C/3)N(C)C2
189,AN-153/I261742,COC1=CC=C(NC(=O)C2CCCN(/C3=C(\C4=CC=CC=C4)C4=C(C=CC(Cl)=C4)NC3=O)C2)C=C1
190,AN-153/I261734,COC(=O)C1CCCN(/C2=C(\C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)NC2=O)C1
191,AT-687/PE25940,COC1=CC=CC(CNC(=O)C2CCCN(C3=NC4=C(SC=C4C4=CC=CC=C4)C(=O)N3)C2)=C1
192,AT-225/NB98225,C1=CC2=C(C=C1)C1=C(/C=C\2)C2=C(CC1)C1=C(C=CC=C1)N2
